Age	Average	White	White	Black	Black	Average	White	White	Black	Black
Age	Average	Male	Female	Male	Female	Average	Male	Female	Male	Female
0	78.00	75.90	80.80	70.90	77.40	6.81	6.29	5.22	14.42	11.92
1	77.60	75.40	80.20	71.00	77.40	0.45	0.46	0.39	0.74	0.52
2	76.60	74.40	79.20	70.00	76.40	0.28	0.30	0.22	0.43	0.33
3	75.60	73.50	78.20	69.10	75.40	0.22	0.23	0.16	0.33	0.31
4	74.60	72.50	77.20	68.10	74.50	0.17	0.17	0.14	0.30	0.19
5	73.70	71.50	76.30	67.10	73.50	0.15	0.16	0.13	0.26	0.17
6	72.70	70.50	75.30	66.10	72.50	0.14	0.14	0.11	0.24	0.14
7	71.70	69.50	74.30	65.10	71.50	0.12	0.12	0.11	0.22	0.13
8	70.70	68.50	73.30	64.10	70.50	0.11	0.10	0.10	0.18	0.12
9	69.70	67.50	72.30	63.20	69.50	0.09	0.08	0.09	0.13	0.11
10	68.70	66.50	71.30	62.20	68.50	0.08	0.07	0.08	0.09	0.12
11	67.70	65.50	70.30	61.20	67.50	0.09	0.07	0.09	0.08	0.13
12	66.70	64.50	69.30	60.20	66.50	0.12	0.12	0.11	0.15	0.16
13	65.70	63.50	68.30	59.20	65.60	0.19	0.22	0.14	0.31	0.19
14	64.70	62.60	67.30	58.20	64.60	0.29	0.35	0.19	0.53	0.23
15	63.80	61.60	66.30	57.20	63.60	0.39	0.49	0.24	0.76	0.28
16	62.80	60.60	65.40	56.30	62.60	0.48	0.61	0.29	0.96	0.32
17	61.80	59.60	64.40	55.30	61.60	0.57	0.74	0.33	1.15	0.36
18	60.80	58.70	63.40	54.40	60.60	0.65	0.87	0.35	1.32	0.40
19	59.90	57.70	62.40	53.50	59.70	0.73	1.00	0.37	1.48	0.44
20	58.90	56.80	61.40	52.60	58.70	0.82	1.13	0.39	1.67	0.49
21	58.00	55.90	60.50	51.60	57.70	0.90	1.26	0.41	1.85	0.54
22	57.00	54.90	59.50	50.70	56.80	0.95	1.34	0.43	1.98	0.59
23	56.10	54.00	58.50	49.80	55.80	0.97	1.36	0.45	2.03	0.63
24 	55.10	53.10	57.50	48.90	54.80	0.96	1.33	0.46	2.01	0.66
25	54.20	52.20	56.60	48.00	53.90	0.95	1.29	0.48	1.97	0.69
26	53.20	51.20	55.60	47.10	52.90	0.94	1.26	0.49	1.94	0.72
27	52.30	50.30	54.60	46.20	51.90	0.94	1.24	0.51	1.92	0.75
28	51.30	49.40	53.70	45.30	51.00	0.95	1.24	0.52	1.95	0.80
29	50.40	48.40	52.70	44.40	50.00	0.96	1.26	0.54	2.00	0.85
30	49.40	47.50	51.70	43.50	49.10	0.99	1.28	0.57	2.07	0.91
31	48.50	46.50	50.70	42.60	48.10	1.02	1.30	0.60	2.14	0.98
32	47.50	45.60	49.80	41.70	47.20	1.05	1.33	0.64	2.24	1.06
33	46.60	44.70	48.80	40.80	46.20	1.10	1.38	0.69	2.26	1.13
34	45.60	43.70	47.80	39.90	45.30	1.14	1.42	0.74	2.30	1.21
35	44.70	42.80	46.90	39.00	44.30	1.20	1.48	0.79	2.35	1.29
36	43.80	41.90	45.90	38.10	43.40	1.27	1.56	0.85	2.43	1.38
37	42.80	40.90	44.90	37.20	42.40	1.35	1.64	0.93	2.53	1.50
38	41.90	40.00	44.00	36.30	41.50	1.45	1.75	1.01	2.67	1.65
39	40.90	39.10	43.00	35.40	40.60	1.57	1.88	1.11	2.86	1.83
40	40.00	38.10	42.10	34.50	39.60	1.70	2.02	1.22	3.06	2.03
41	39.10	37.20	41.10	33.60	38.70	1.85	2.18	1.34	3.30	2.23
42	38.10	36.30	40.20	32.70	37.80	2.03	2.38	1.48	3.57	2.46
43	37.20	35.40	39.30	31.80	36.90	2.24	2.63	1.64	3.87	2.72
44	36.30	34.50	38.30	31.00	36.00	2.46	2.90	1.81	4.21	2.99
45	35.40	33.60	37.40	30.10	35.10	2.69	3.17	1.99	4.54	3.27
46	34.50	32.70	36.50	29.30	34.20	2.92	3.44	2.16	4.91	3.55
47	33.60	31.80	35.50	28.40	33.40	3.17	3.74	2.33	5.36	3.84
48	32.70	30.90	34.60	27.60	32.50	3.44	4.06	2.51	5.93	4.16
49	31.80	30.10	33.70	26.80	31.70	3.73	4.42	2.69	6.60	4.50
50	31.00	29.20	32.80	26.00	30.80	4.05	4.80	2.90	7.33	4.87
51	30.10	28.40	31.90	25.20	30.00	4.37	5.19	3.12	8.06	5.24
52	29.20	27.50	31.00	24.40	29.10	4.70	5.58	3.34	8.80	5.61
53	28.40	26.70	30.10	23.60	28.30	5.02	5.97	3.56	9.53	5.94
54	27.50	25.90	29.20	22.90	27.50	5.35	6.36	3.79	10.26	6.25
55	26.70	25.00	28.30	22.20	26.70	5.69	6.76	4.03	11.04	6.58
56	25.80	24.20	27.50	21.50	25.90	6.06	7.21	4.31	11.84	6.93
57	25.00	23.40	26.60	20.80	25.10	6.48	7.69	4.65	12.56	7.33
58	24.20	22.60	25.70	20.10	24.30	6.94	8.21	5.06	13.16	7.78
59	23.40	21.80	24.90	19.40	23.50	7.44	8.78	5.55	13.67	8.29
60	22.60	21.00	24.00	18.70	22.70	8.00	9.38	6.09	14.18	8.88
61	21.80	20.30	23.20	18.10	21.90	8.58	10.02	6.66	14.76	9.53
62	21.00	19.50	22.30	17.40	21.20	9.20	10.69	7.25	15.44	10.21
63	20.20	18.70	21.50	16.80	20.40	9.84	11.39	7.85	16.24	10.87
64	19.40	18.00	20.70	16.10	19.70	10.53	12.15	8.48	17.12	11.51
65	18.70	17.30	19.90	15.50	18.90	11.31	13.01	9.20	18.05	12.17
66	18.70	17.30	19.90	15.50	18.90	11.31	13.01	9.20	18.05	12.17
67	18.70	17.30	19.90	15.50	18.90	11.31	13.01	9.20	18.05	12.17
68	15.00	13.70	16.00	12.60	15.40	15.71	17.98	13.41	21.52	16.03
69	15.00	13.70	16.00	12.60	15.40	15.71	17.98	13.41	21.52	16.03
70	15.00	13.70	16.00	12.60	15.40	15.71	17.98	13.41	21.52	16.03
71	15.00	13.70	16.00	12.60	15.40	15.71	17.98	13.41	21.52	16.03
72	15.00	13.70	16.00	12.60	15.40	15.71	17.98	13.41	21.52	16.03
73	11.70	10.60	12.40	10.00	12.20	22.88	25.49	20.76	26.01	22.27
74	11.70	10.60	12.40	10.00	12.20	22.88	25.49	20.76	26.01	22.27
75	11.70	10.60	12.40	10.00	12.20	22.88	25.49	20.76	26.01	22.27
76	11.70	10.60	12.40	10.00	12.20	22.88	25.49	20.76	26.01	22.27
77	11.70	10.60	12.40	10.00	12.20	22.88	25.49	20.76	26.01	22.27
78	8.80	7.90	9.30	7.80	9.50	30.58	32.38	29.96	27.35	28.25
79	8.80	7.90	9.30	7.80	9.50	30.58	32.38	29.96	27.35	28.25
80	8.80	7.90	9.30	7.80	9.50	30.58	32.38	29.96	27.35	28.25
81	8.80	7.90	9.30	7.80	9.50	30.58	32.38	29.96	27.35	28.25
82	8.80	7.90	9.30	7.80	9.50	30.58	32.38	29.96	27.35	28.25
83	6.50	5.70	6.80	6.00	7.10	34.98	34.17	37.38	24.52	31.42
84	6.50	5.70	6.80	6.00	7.10	34.98	34.17	37.38	24.52	31.42
85	6.50	5.70	6.80	6.00	7.10	34.98	34.17	37.38	24.52	31.42
86	6.50	5.70	6.80	6.00	7.10	34.98	34.17	37.38	24.52	31.42
87	6.50	5.70	6.80	6.00	7.10	34.98	34.17	37.38	24.52	31.42
88	4.60	4.10	4.80	4.60	5.30	31.07	26.79	36.44	17.49	28.56
89	4.60	4.10	4.80	4.60	5.30	31.07	26.79	36.44	17.49	28.56
90	4.60	4.10	4.80	4.60	5.30	31.07	26.79	36.44	17.49	28.56
91	4.60	4.10	4.80	4.60	5.30	31.07	26.79	36.44	17.49	28.56
92	4.60	4.10	4.80	4.60	5.30	31.07	26.79	36.44	17.49	28.56
93	3.20	2.90	3.30	3.50	3.80	18.50	13.21	23.65	9.05	19.11
94	3.20	2.90	3.30	3.50	3.80	18.50	13.21	23.65	9.05	19.11
95	3.20	2.90	3.30	3.50	3.80	18.50	13.21	23.65	9.05	19.11
96	3.20	2.90	3.30	3.50	3.80	18.50	13.21	23.65	9.05	19.11
97	3.20	2.90	3.30	3.50	3.80	18.50	13.21	23.65	9.05	19.11
98	2.30	2.00	2.20	2.60	2.80	18.45	8.92	24.78	10.40	30.63
99	2.30	2.00	2.20	2.60	2.80	18.45	8.92	24.78	10.40	30.63
100	2.30	2.00	2.20	2.60	2.80	18.45	8.92	24.78	10.40	30.63